dx_1
-0.75,0.85,-0.65,-0.45,-0.55,0.65
-0.75,0.85,-0.65,-0.45,-0.55,0.66
-0.75,0.85,-0.65,-0.45,-0.54,0.65
-0.75,0.85,-0.65,-0.45,-0.54,0.66
-0.75,0.85,-0.65,-0.44,-0.55,0.65
-0.75,0.85,-0.65,-0.44,-0.55,0.66
-0.75,0.85,-0.65,-0.44,-0.54,0.65
-0.75,0.85,-0.65,-0.44,-0.54,0.66
-0.75,0.85,-0.645,-0.45,-0.55,0.65
-0.75,0.85,-0.645,-0.45,-0.55,0.66
-0.75,0.85,-0.645,-0.45,-0.54,0.65
-0.75,0.85,-0.645,-0.45,-0.54,0.66
-0.75,0.85,-0.645,-0.44,-0.55,0.65
-0.75,0.85,-0.645,-0.44,-0.55,0.66
-0.75,0.85,-0.645,-0.44,-0.54,0.65
-0.75,0.85,-0.645,-0.44,-0.54,0.66
-0.75,0.85,-0.64,-0.45,-0.55,0.65
-0.75,0.85,-0.64,-0.45,-0.55,0.66
-0.75,0.85,-0.64,-0.45,-0.54,0.65
-0.75,0.85,-0.64,-0.45,-0.54,0.66
-0.75,0.85,-0.64,-0.44,-0.55,0.65
-0.75,0.85,-0.64,-0.44,-0.55,0.66
-0.75,0.85,-0.64,-0.44,-0.54,0.65
-0.75,0.85,-0.64,-0.44,-0.54,0.66
-0.75,0.855,-0.65,-0.45,-0.55,0.65
-0.75,0.855,-0.65,-0.45,-0.55,0.66
-0.75,0.855,-0.65,-0.45,-0.54,0.65
-0.75,0.855,-0.65,-0.45,-0.54,0.66
-0.75,0.855,-0.65,-0.44,-0.55,0.65
-0.75,0.855,-0.65,-0.44,-0.55,0.66
-0.75,0.855,-0.65,-0.44,-0.54,0.65
-0.75,0.855,-0.65,-0.44,-0.54,0.66
-0.75,0.855,-0.64,-0.45,-0.55,0.65
-0.75,0.855,-0.64,-0.45,-0.55,0.66
-0.75,0.855,-0.64,-0.45,-0.54,0.65
-0.75,0.855,-0.64,-0.45,-0.54,0.66
-0.75,0.855,-0.64,-0.44,-0.55,0.65
-0.75,0.855,-0.64,-0.44,-0.55,0.66
-0.75,0.855,-0.64,-0.44,-0.54,0.65
-0.75,0.855,-0.64,-0.44,-0.54,0.66
-0.75,0.86,-0.65,-0.45,-0.55,0.65
-0.75,0.86,-0.65,-0.45,-0.55,0.66
-0.75,0.86,-0.65,-0.45,-0.54,0.65
-0.75,0.86,-0.65,-0.45,-0.54,0.66
-0.75,0.86,-0.65,-0.44,-0.55,0.65
-0.75,0.86,-0.65,-0.44,-0.55,0.66
-0.75,0.86,-0.65,-0.44,-0.54,0.65
-0.75,0.86,-0.65,-0.44,-0.54,0.66
-0.75,0.86,-0.645,-0.45,-0.55,0.65
-0.75,0.86,-0.645,-0.45,-0.55,0.66
-0.75,0.86,-0.645,-0.45,-0.54,0.65
-0.75,0.86,-0.645,-0.45,-0.54,0.66
-0.75,0.86,-0.645,-0.44,-0.55,0.65
-0.75,0.86,-0.645,-0.44,-0.55,0.66
-0.75,0.86,-0.645,-0.44,-0.54,0.65
-0.75,0.86,-0.645,-0.44,-0.54,0.66
-0.75,0.86,-0.64,-0.45,-0.55,0.65
-0.75,0.86,-0.64,-0.45,-0.55,0.66
-0.75,0.86,-0.64,-0.45,-0.54,0.65
-0.75,0.86,-0.64,-0.45,-0.54,0.66
-0.75,0.86,-0.64,-0.44,-0.55,0.65
-0.75,0.86,-0.64,-0.44,-0.55,0.66
-0.75,0.86,-0.64,-0.44,-0.54,0.65
-0.75,0.86,-0.64,-0.44,-0.54,0.66
-0.745,0.85,-0.65,-0.45,-0.55,0.65
-0.745,0.85,-0.65,-0.45,-0.55,0.66
-0.745,0.85,-0.65,-0.45,-0.54,0.65
-0.745,0.85,-0.65,-0.45,-0.54,0.66
-0.745,0.85,-0.65,-0.44,-0.55,0.65
-0.745,0.85,-0.65,-0.44,-0.55,0.66
-0.745,0.85,-0.65,-0.44,-0.54,0.65
-0.745,0.85,-0.65,-0.44,-0.54,0.66
-0.745,0.85,-0.64,-0.45,-0.55,0.65
-0.745,0.85,-0.64,-0.45,-0.55,0.66
-0.745,0.85,-0.64,-0.45,-0.54,0.65
-0.745,0.85,-0.64,-0.45,-0.54,0.66
-0.745,0.85,-0.64,-0.44,-0.55,0.65
-0.745,0.85,-0.64,-0.44,-0.55,0.66
-0.745,0.85,-0.64,-0.44,-0.54,0.65
-0.745,0.85,-0.64,-0.44,-0.54,0.66
-0.745,0.86,-0.65,-0.45,-0.55,0.65
-0.745,0.86,-0.65,-0.45,-0.55,0.66
-0.745,0.86,-0.65,-0.45,-0.54,0.65
-0.745,0.86,-0.65,-0.45,-0.54,0.66
-0.745,0.86,-0.65,-0.44,-0.55,0.65
-0.745,0.86,-0.65,-0.44,-0.55,0.66
-0.745,0.86,-0.65,-0.44,-0.54,0.65
-0.745,0.86,-0.65,-0.44,-0.54,0.66
-0.745,0.86,-0.64,-0.45,-0.55,0.65
-0.745,0.86,-0.64,-0.45,-0.55,0.66
-0.745,0.86,-0.64,-0.45,-0.54,0.65
-0.745,0.86,-0.64,-0.45,-0.54,0.66
-0.745,0.86,-0.64,-0.44,-0.55,0.65
-0.745,0.86,-0.64,-0.44,-0.55,0.66
-0.745,0.86,-0.64,-0.44,-0.54,0.65
-0.745,0.86,-0.64,-0.44,-0.54,0.66
-0.74,0.85,-0.65,-0.45,-0.55,0.65
-0.74,0.85,-0.65,-0.45,-0.55,0.66
-0.74,0.85,-0.65,-0.45,-0.54,0.65
-0.74,0.85,-0.65,-0.45,-0.54,0.66
-0.74,0.85,-0.65,-0.44,-0.55,0.65
-0.74,0.85,-0.65,-0.44,-0.55,0.66
-0.74,0.85,-0.65,-0.44,-0.54,0.65
-0.74,0.85,-0.65,-0.44,-0.54,0.66
-0.74,0.85,-0.645,-0.45,-0.55,0.65
-0.74,0.85,-0.645,-0.45,-0.55,0.66
-0.74,0.85,-0.645,-0.45,-0.54,0.65
-0.74,0.85,-0.645,-0.45,-0.54,0.66
-0.74,0.85,-0.645,-0.44,-0.55,0.65
-0.74,0.85,-0.645,-0.44,-0.55,0.66
-0.74,0.85,-0.645,-0.44,-0.54,0.65
-0.74,0.85,-0.645,-0.44,-0.54,0.66
-0.74,0.85,-0.64,-0.45,-0.55,0.65
-0.74,0.85,-0.64,-0.45,-0.55,0.66
-0.74,0.85,-0.64,-0.45,-0.54,0.65
-0.74,0.85,-0.64,-0.45,-0.54,0.66
-0.74,0.85,-0.64,-0.44,-0.55,0.65
-0.74,0.85,-0.64,-0.44,-0.55,0.66
-0.74,0.85,-0.64,-0.44,-0.54,0.65
-0.74,0.85,-0.64,-0.44,-0.54,0.66
-0.74,0.855,-0.65,-0.45,-0.55,0.65
-0.74,0.855,-0.65,-0.45,-0.55,0.66
-0.74,0.855,-0.65,-0.45,-0.54,0.65
-0.74,0.855,-0.65,-0.45,-0.54,0.66
-0.74,0.855,-0.65,-0.44,-0.55,0.65
-0.74,0.855,-0.65,-0.44,-0.55,0.66
-0.74,0.855,-0.65,-0.44,-0.54,0.65
-0.74,0.855,-0.65,-0.44,-0.54,0.66
-0.74,0.855,-0.64,-0.45,-0.55,0.65
-0.74,0.855,-0.64,-0.45,-0.55,0.66
-0.74,0.855,-0.64,-0.45,-0.54,0.65
-0.74,0.855,-0.64,-0.45,-0.54,0.66
-0.74,0.855,-0.64,-0.44,-0.55,0.65
-0.74,0.855,-0.64,-0.44,-0.55,0.66
-0.74,0.855,-0.64,-0.44,-0.54,0.65
-0.74,0.855,-0.64,-0.44,-0.54,0.66
-0.74,0.86,-0.65,-0.45,-0.55,0.65
-0.74,0.86,-0.65,-0.45,-0.55,0.66
-0.74,0.86,-0.65,-0.45,-0.54,0.65
-0.74,0.86,-0.65,-0.45,-0.54,0.66
-0.74,0.86,-0.65,-0.44,-0.55,0.65
-0.74,0.86,-0.65,-0.44,-0.55,0.66
-0.74,0.86,-0.65,-0.44,-0.54,0.65
-0.74,0.86,-0.65,-0.44,-0.54,0.66
