dx_1
-3.141592653589793,-1.0
-3.141592653589793,1.0
-3.137176690753111,-1.0
-3.137176690753111,1.0
-3.1283336953628385,-1.0
-3.1283336953628385,1.0
-3.119479560751951,-1.0
-3.119479560751951,1.0
-3.110614216846497,-1.0
-3.110614216846497,1.0
-3.1017375929966535,-1.0
-3.1017375929966535,1.0
-3.0928496179692946,-1.0
-3.0928496179692946,1.0
-3.0839502199410886,-1.0
-3.0839502199410886,1.0
-3.075039326492143,-1.0
-3.075039326492143,1.0
-3.066116864598517,-1.0
-3.066116864598517,1.0
-3.0571827606252326,-1.0
-3.0571827606252326,1.0
-3.0482369403190335,-1.0
-3.0482369403190335,1.0
-3.039279328800479,-1.0
-3.039279328800479,1.0
-3.0303098505571673,-1.0
-3.0303098505571673,1.0
-3.0213284294361893,-1.0
-3.0213284294361893,1.0
-3.0123349886354043,-1.0
-3.0123349886354043,1.0
-3.003329450696029,-1.0
-3.003329450696029,1.0
-2.9943117374948662,-1.0
-2.9943117374948662,1.0
-2.985281770235971,-1.0
-2.985281770235971,1.0
-2.9762394694424437,-1.0
-2.9762394694424437,1.0
-2.9671847549474895,-1.0
-2.9671847549474895,1.0
-2.958117545886125,-1.0
-2.958117545886125,1.0
-2.9490377606874607,-1.0
-2.9490377606874607,1.0
-2.9399453170635526,-1.0
-2.9399453170635526,1.0
-2.9308401320029285,-1.0
-2.9308401320029285,1.0
-2.921722121759345,-1.0
-2.921722121759345,1.0
-2.912591201843717,-1.0
-2.912591201843717,1.0
-2.9034472870135057,-1.0
-2.9034472870135057,1.0
-2.8942902912643547,-1.0
-2.8942902912643547,1.0
-2.8851201278191057,-1.0
-2.8851201278191057,1.0
-2.8759367091185775,-1.0
-2.8759367091185775,1.0
-2.866739946811129,-1.0
-2.866739946811129,1.0
-2.8575297517410934,-1.0
-2.8575297517410934,1.0
-2.848306033940319,-1.0
-2.848306033940319,1.0
-2.8390687026156995,-1.0
-2.8390687026156995,1.0
-2.829817666139132,-1.0
-2.829817666139132,1.0
-2.8205528320360576,-1.0
-2.8205528320360576,1.0
-2.8112741069735603,-1.0
-2.8112741069735603,1.0
-2.801981396749873,-1.0
-2.801981396749873,1.0
-2.792674606281751,-1.0
-2.792674606281751,1.0
-2.7833536395926597,-1.0
-2.7833536395926597,1.0
-2.7740183998004726,-1.0
-2.7740183998004726,1.0
-2.764668789104993,-1.0
-2.764668789104993,1.0
-2.7553047087755713,-1.0
-2.7553047087755713,1.0
-2.745926059137844,-1.0
-2.745926059137844,1.0
-2.736532739560353,-1.0
-2.736532739560353,1.0
-2.7271246484415013,-1.0
-2.7271246484415013,1.0
-2.717701683195388,-1.0
-2.717701683195388,1.0
-2.708263740238244,-1.0
-2.708263740238244,1.0
-2.698810714973964,-1.0
-2.698810714973964,1.0
-2.689342501779458,-1.0
-2.689342501779458,1.0
-2.67985899399007,-1.0
-2.67985899399007,1.0
-2.670360083883995,-1.0
-2.670360083883995,1.0
-2.6608456626674646,-1.0
-2.6608456626674646,1.0
-2.6513156204583788,-1.0
-2.6513156204583788,1.0
-2.641769846270799,-1.0
-2.641769846270799,1.0
-2.632208227998073,-1.0
-2.632208227998073,1.0
-2.622630652396396,-1.0
-2.622630652396396,1.0
-2.613037005067549,-1.0
-2.613037005067549,1.0
-2.6034271704415057,-1.0
-2.6034271704415057,1.0
-2.593801031758916,-1.0
-2.593801031758916,1.0
-2.584158471052379,-1.0
-2.584158471052379,1.0
-2.5744993691282665,-1.0
-2.5744993691282665,1.0
-2.564823605547861,-1.0
-2.564823605547861,1.0
-2.5551310586073748,-1.0
-2.5551310586073748,1.0
-2.545421605319177,-1.0
-2.545421605319177,1.0
-2.5356951213907237,-1.0
-2.5356951213907237,1.0
-2.5259514812040513,-1.0
-2.5259514812040513,1.0
-2.5161905577951122,-1.0
-2.5161905577951122,1.0
-2.506412222831535,-1.0
-2.506412222831535,1.0
-2.4966163465914626,-1.0
-2.4966163465914626,1.0
-2.4868027979400735,-1.0
-2.4868027979400735,1.0
-2.4769714443071194,-1.0
-2.4769714443071194,1.0
-2.4671221516630104,-1.0
-2.4671221516630104,1.0
-2.457254784495172,-1.0
-2.457254784495172,1.0
-2.447369205782791,-1.0
-2.447369205782791,1.0
-2.4374652769721736,-1.0
-2.4374652769721736,1.0
-2.4275428579503897,-1.0
-2.4275428579503897,1.0
-2.417601807019124,-1.0
